emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
14,-1,-3,-5,-6,-3,-4,12,
-8,-10,-3,3,1,-1,3,-2,
0,10,0,-1,-9,4,4,-16,
0,-9,-3,-3,-2,-13,-41,9,
-1,10,1,2,12,-5,-3,-5,
1,-4,-5,-11,-28,8,5,-13,
20,-2,-3,0,-3,-8,-12,31,
-17,-7,-5,-1,3,0,-3,-8,
-9,-3,-1,-4,-12,-7,4,-16,
2,-4,-1,1,17,6,-10,11,
-16,2,2,-4,-4,-4,16,-6,
14,2,0,-4,-5,9,4,-11,
-1,-10,-3,1,11,-13,-4,13,
9,15,7,2,-14,-8,26,-2,
-5,-6,-3,0,-1,3,-34,-10,
6,3,-1,2,5,6,5,3,
-8,-5,-4,-2,-7,2,3,8,
-2,9,2,0,12,-5,0,-19,
13,-23,-10,-2,-6,-3,20,36,
-6,8,6,-4,-18,-5,11,-20,
-35,-5,-7,-2,0,-3,-1,-17,
10,0,1,2,4,0,1,-2,
3,0,-9,-5,-13,-7,3,-6,
18,3,6,-1,-1,-3,16,21,
13,0,-1,-2,12,10,-23,7,
-1,-6,6,9,2,-6,28,4,
-24,13,0,-1,-10,-6,-23,-15,
12,4,-1,-3,3,-3,1,11,
6,-9,-5,-6,-7,-3,1,7,
-16,-12,-7,-9,-14,-7,-1,-21,
23,-10,-8,3,29,16,13,37,
-22,4,6,-1,-31,-18,-23,-10,
-2,0,4,1,-3,0,-1,-12,
-19,20,-3,1,4,3,-7,14,
-6,-6,3,-2,-36,-19,6,-31,
-1,-5,-7,-1,37,24,-15,-8,
25,2,0,0,-11,-10,7,7,
-23,-11,-6,-6,-23,-22,-9,-29,
-14,-5,-1,-3,21,16,2,-7,
-3,-7,-12,-4,7,2,23,18,
8,11,8,2,-10,-6,-35,-25,
11,0,-2,1,23,15,-12,9,
-8,-8,-1,1,-15,-13,-2,3,
-3,0,-6,-5,4,3,4,-3,
-14,5,2,5,28,-5,-17,30,
26,-5,-3,-6,-11,12,48,-1,
-26,-6,6,9,13,-6,-67,-41,
6,21,4,3,-4,-7,5,45,
-3,-31,2,3,-10,7,19,-3,
-5,3,-1,-1,12,2,19,6,
26,24,2,-6,8,2,-7,17,
-4,3,3,-2,-13,-9,-3,-21,
-15,2,-7,-2,-9,-2,-6,-21,
-7,-7,3,5,9,2,-18,0,
4,-1,-5,0,25,12,38,24,
5,5,8,-4,-41,-14,0,-44,
-1,3,-5,0,5,9,38,26,
-3,-18,-12,-4,-5,-11,-58,-44,
8,2,1,5,6,3,17,14,
-18,0,11,9,0,-3,-19,-17,
12,-7,-13,-10,4,6,8,-2,
8,10,5,-2,-23,-9,5,18,
6,9,3,3,10,1,-54,-13,
11,4,-11,-3,17,2,17,-11,
-21,-18,0,-1,-8,-6,0,2,
10,10,4,-1,0,12,-3,2,
6,-5,-7,-9,-39,-29,-3,-1,
-14,-22,-4,4,18,22,36,-6,
-1,-11,-3,-2,8,0,-20,-8,
1,40,10,5,13,9,3,9,
-14,0,-2,-5,-21,-5,15,-17,
9,-3,3,-1,-2,0,-23,2,
-11,-1,-1,-5,-17,-24,-12,-20,
7,-9,-1,6,9,14,21,35,
-3,-6,0,-3,-1,3,11,8,
-4,-15,-8,-3,15,-3,-20,-7,
1,6,0,2,-15,8,23,-35,
-10,-13,-8,-6,-1,-9,9,-2,
-7,0,0,2,2,0,-27,-30,
-21,-3,0,0,4,-2,1,-14,
14,4,-3,-5,-4,-2,51,17,
1,-2,-2,-5,0,-2,10,-18,
17,-4,-1,1,-3,-2,15,45,
-3,-9,-6,-2,-2,-6,-11,0,
9,37,2,1,10,10,5,17,
-19,-32,2,-3,-13,-1,-11,-3,
0,19,6,4,9,0,27,18,
3,-5,-5,-7,-5,3,-2,-4,
-2,7,2,2,1,-7,-21,-10,
-2,-4,-3,0,4,-5,-34,6,
-5,-3,-1,-5,-5,8,2,-21,
8,0,-2,0,-9,-1,1,26,
-1,-6,2,3,18,8,8,-2,
4,3,0,-1,1,2,-9,0,
-8,-4,-3,-1,3,-8,-5,-42,
-23,-3,-2,-6,-53,-8,-4,10,
22,4,1,-2,4,-1,-21,27,
-1,9,-4,-2,1,-4,14,-12,
8,-4,4,0,-1,6,4,11,
-2,-1,-3,-3,14,-6,11,21,
